region,gdppercapita,lifeexpect,pollution,pollutionlevel,regionZH
Beijing,128927,81.95,-2.1864,low,__
Tianjin,119240,78.89,-1.8819,low,__
Hebei,47985,74.97,3.6634,high,__
Shanxi,40557,74.68,2.1271,med-high,__
Inner Mongolia,81791,74.44,1.4065,med-high,___
Liaoning,54745,76.38,3.1121,high,__
Jilin,56101,76.18,-1.1478,med-low,__
Heilongjiang,42699,75.98,-0.6501,med-low,___
Shanghai,124571,83.18,-1.1208,med-low,__
Jiangsu,107189,78.84,1.8836,med-high,__
Zhejiang,92057,81.43,0.1551,med,__
Anhui,44206,75.08,0.0813,med,__
Fujian,82976,75.76,-0.722,med-low,__
Jiangxi,45187,74.92,-0.2361,med-low,__
Shandong,72851,76.46,3.2513,high,__
Henan,47129,74.57,1.8839,med-high,__
Hubei,61971,74.87,-0.0426,med,__
Hunan,50563,74.7,0.4329,med,__
Guangdong,81809,76.49,1.5115,med-high,__
Guangxi,41955,75.11,0.943,med,____
Hainan,48429,76.3,-2.5554,low,__
Chongqing,63689,75.7,-0.937,med-low,__
Sichuan,44651,74.75,1.2711,med-high,__
Guizhou,37956,71.1,-0.1016,med,__
Yunnan,34546,69.54,-0.5539,med-low,__
Tibet,39258,64.37,-2.8003,low,__
Shaanxi,57266,74.92,-0.1556,med,__
Gansu,29326,72.23,-1.3596,med-low,__
Qinghai,44348,69.96,-2.2493,low,__
Ningxia,50917,73.38,-1.878,low,____
Xinjiang,45099,72.35,-1.1442,med-low,______
